"lon","lat"
"2",-84.5499327,33.952602
"5",-100.3161126,25.6866142
"7",-74.4056612,40.0583238
"8",19.503304,47.162494
"9",-114.7420408,44.0682019
"10",-73.212072,44.4758825
"11",-95.3698028,29.7604267
"13",-103.416501,20.6719563
"14",-73.5491361,52.9399159
"15",-117.6897776,34.0775104
"16",-74.0044432,40.7136231
"19",-63.616672,-38.416097
"20",-84.0061091,43.4600896
"21",101.0737181,4.819012
"23",25.48583,42.733883
"24",-112.0847703,38.7675068
"28",-87.3594528,36.5297706
"29",146.921099,-31.2532183
"33",-81.655651,30.3321838
"34",-95.712891,37.09024
"35",121.774017,12.879721
"37",35.243322,38.963745
"38",-118.2436849,34.0522342
"40",-122.0981848,47.9128756
"42",-118.3089661,34.1808392
"45",-102.348366,31.875925
"47",121.774017,12.879721
"48",8.4660395,49.4874592
"49",-118.2436849,34.0522342
"51",-90.0715323,29.9510658
"52",-84.3879824,33.7489954
"54",-95.712891,37.09024
"56",-115.1537389,36.0839998
"57",-95.712891,37.09024
"58",106.8060388,-6.5971469
"61",-81.5157535,27.6648274
"62",-82.907123,40.4172871
"63",-85.7584557,38.2526647
"67",-76.624479,39.2841689
"71",-77.1917982,37.1887622
"72",-71.0588801,42.3600825
"81",-71.0588801,42.3600825
"82",-88.2169027,43.0542058
"85",-99.9018131,31.9685988
"86",-81.1637245,33.836081
"87",-79.3831843,43.653226
"88",-95.712891,37.09024
"89",-81.1637245,33.836081
"92",-98.2061996,19.0412967
"93",-63.616672,-38.416097
"96",-111.0937311,34.0489281
"97",-81.3318545,48.4751998
"99",-106.6055534,35.0853336
"103",-73.9441579,40.6781784
"107",121.774017,12.879721
"110",-81.1637245,33.836081
"112",-95.712891,37.09024
"113",-122.2913078,37.8271784
"114",-87.6297982,41.8781136
"115",-122.3126222,47.3223221
"118",78.486671,17.385044
"119",-71.0588801,42.3600825
"120",-83.555212,41.6639383
"121",-121.4943996,38.5815719
"123",-99.7232673,19.4968732
"129",-81.5157535,27.6648274
"131",-119.4179324,36.778261
"132",-101.2573586,21.0190145
"133",-118.2436849,34.0522342
"134",-81.4865013,30.0735964
"135",112.7520883,-7.2574719
"136",-112.0272565,41.1398691
"137",-51.2176986,-30.0346316
"138",-99.4803241,27.5305671
"139",-74.4056612,40.0583238
"140",-96.7132304,17.0542297
"141",-95.3698028,29.7604267
"142",-95.712891,37.09024
"143",-85.6023643,44.3148443
"146",-43.1728965,-22.9068467
"147",-78.6568942,37.4315734
"148",-119.4179324,36.778261
"154",-58.443832,-23.442503
"155",-79.0192997,35.7595731
"163",-116.5765035,53.9332706
"164",-117.1610838,32.715738
"167",-122.1750657,37.4200507
"169",-97.7430608,30.267153
"173",-95.712891,37.09024
"174",8.7760843,50.0956362
"176",-86.8909288,36.1795891
"177",-75.6971931,45.4215296
"179",-112.2373779,33.5805955
"180",-74.4056612,40.0583238
"181",-122.6479642,38.0370155
"182",-96.7969879,32.7766642
"186",-119.4179324,36.778261
"187",-95.3698028,29.7604267
"189",-118.4694832,33.9850469
"192",-73.6387393,40.8306556
"193",-75.1652215,39.9525839
"195",-75.015152,-9.189967
"197",-115.28573,36.2896797
"199",-71.0588801,42.3600825
"200",-86.158068,39.768403
"201",-82.4571776,27.950575
"204",-51.92528,-14.235004
"205",-116.3181481,33.7369868
"206",82.9739144,25.3176452
"208",-57.9535657,-34.9204948
"210",-118.3286614,34.0928092
"211",-104.872758,39.0916586
"214",-106.0691004,28.6329957
"217",-41.7007272,-12.579738
"219",-73.567256,45.5016889
"220",-102.552784,23.634501
"221",-100.3161126,25.6866142
"222",30.799033,-29.792267
"224",-82.4571776,27.950575
"225",-81.8892949,40.5559423
"231",126.9779692,37.566535
"232",-95.3698028,29.7604267
"233",-73.9817372,40.7265257
"235",-123.1207375,49.2827291
"236",-82.4134614,32.2176855
"238",-95.712891,37.09024
"239",-8.224454,39.399872
"240",-112.0740373,33.4483771
"242",-74.0059413,40.7127837
"244",-2.96083,53.4308294
"245",51.183884,25.354826
"246",-95.712891,37.09024
"247",-79.532157,43.8169837
"249",-99.9961947,25.592172
"250",-90.230759,15.783471
"251",-70.6692655,-33.4488897
"252",-51.2176584,-30.0346471
"253",-3.9369029,56.1165227
"254",-90.3143576,38.6142741
"255",-71.0588801,42.3600825
"256",-102.552784,23.634501
"257",-121.9999606,37.8215929
"258",-66.9036063,10.4805937
"260",-122.2913078,37.8271784
"263",-73.9868938,40.7477385
"265",80.9461592,26.8467088
"268",-117.1610838,32.715738
"269",-102.552784,23.634501
"274",-77.1945247,41.2033216
"275",100.498823,13.761731
"276",-74.0059413,40.7127837
"279",-118.4265872,33.9719826
"280",-87.8654176,42.3015469
"281",-95.712891,37.09024
"282",-69.3473509,10.0677719
"283",-115.0837073,36.1053449
