"player_api_id","leagues_played","total_appearances","player_name","overall_rating","gk_attributes"
2625,1,90,"Patryk Rachwal,18",63,153
2752,1,81,"Diego Mainz",72,53
2768,1,71,"Jose Dorado",75,64
2770,2,16,"Ignacio Gonzalez",74,60
2790,1,50,"Alberto Rey",73,144
2796,1,1,"Javier Jimenez",69,340
2802,2,144,"Pablo Hernandez",82,54
2805,1,131,"Ruben Perez",76,56
2857,1,3,"Ivan Perez",72,143
2862,1,17,"Vicente Sanchez",76,44
2907,1,6,"Gregory Lacombe",68,42
2973,1,16,"Ugur Inceman",72,143
2977,1,5,"David Rivas Rodriguez",82,104
2983,1,71,"Jorge Molina",75,55
2984,1,38,"Sergio Aragones",75,364
3140,1,42,"Alexandre Hauw",69,136
3204,1,42,"Marat Izmailov",81,53
3263,1,19,"Kelly Berville",67,115
3264,1,1,"Abdelmalek Cherrad",62,49
3316,1,6,"Oscar Sanchez",71,107
3329,1,85,"Vincent Euvrard",64,54
3377,1,1,"Luca Belingheri",72,46
3441,1,74,"Aleksander Radosavljevic",71,62
3512,1,4,"Peter Halmosi",75,143
3517,1,17,"Alexandr Kerzhakov",82,63
3520,1,70,"Andrey Arshavin",86,55
4747,1,36,"Lee Wilkie",73,128
4863,1,25,"Boban Grncarov",66,54
4902,1,68,"Iriney",77,40
4939,1,97,"Tim Clancy",64,59
4999,1,49,"Sebastian Olszar",59,43
5016,1,69,"Ibrahim Sidibe",65,50
5044,1,21,"Jeroen Verhoeven",68,344
5047,1,10,"Wilko de Vogt",61,305
5063,1,106,"Sander Duits",68,61
5184,1,5,"Gudmundur Steinarsson",62,108
5192,1,52,"Manuel Silas",72,146
5202,1,163,"Remy Gomis",73,56
5217,1,102,"Laurent Batlles",77,123
5223,1,7,"Raffaele Rubino",63,52
5233,1,18,"Iban Javier Cuadrado",73,132
5243,1,38,"Julio Alvarez",76,149
5247,1,16,"Perez Richi",67,118
5272,1,27,"Gary Coulibaly",68,48
5362,1,24,"Ifet Taljevic,23",60,121
5440,1,5,"Marjan Petkovic",67,332
5468,1,7,"Freddy Mombongo-Dues",62,48
5610,1,141,"Yann Jouffre",75,55
5629,1,3,"Bertrand Robert",73,101
5631,1,13,"Jeremy Blayac",68,41
5662,1,45,"Dimitri Bulykin",73,50
5686,1,28,"Gerry Koning",65,59
5687,1,20,"Rowin van Zaanen",66,52
5693,1,119,"Kees Kwakman",71,148
5700,1,3,"Charles Dissels",65,132
5703,1,74,"Otman Bakkal",75,147
5710,1,53,"Diederik Boer",70,344
6757,1,1,"Denis Dessaer",60,42
6771,1,22,"Oliver Vinamont",60,51
6798,1,14,"Roel van Hemert",60,55
6800,2,93,"Jonas Ivens",68,52
6803,1,16,"Brecht Verbrugghe",63,143
6824,1,1,"Pedro Kamata",72,45
6853,1,18,"Fabian Vargas",76,169
6864,1,65,"Santiago Acasiete",75,59
6911,1,38,"Fabian Canobbio",77,99
7099,1,1,"Toni Lehtinen",60,123
7206,1,2,"Sebastian Sorsa",61,48
7226,1,16,"Roni Porokara",69,143
7284,1,81,"Kasper Haemaelaeinen",72,50
7334,1,12,"Anssi Jaakkola",63,310
7604,1,33,"Tom van Hyfte",67,64
7616,1,97,"Kristian Nushi",63,133
7621,1,51,"Anthony Favre",60,300
7627,1,55,"Thierno Bah",63,39
7628,1,27,"Tibert Pont",57,41
7663,1,36,"Jerome Schneider",55,49
7681,1,49,"Josip Colina",59,49
7683,1,57,"Alessandro Iandoli",66,49
8777,1,31,"Michele Polverino",60,57
8780,1,3,"Marco Perez",73,42
8784,1,87,"Stefan Nater",58,49
8800,1,117,"Thomas Reinmann",63,63
8837,1,43,"Angelo Raso",57,40
8840,1,60,"Cristian Florin Ianu",66,52
8881,2,38,"Marco Padalino",75,143
8893,1,31,"Antoine Rey",65,61
8922,2,120,"Nikica Jelavic",78,40
8925,1,11,"Ryan Thomson",52,49
8930,1,17,"Hrvoje Cale",72,114
8932,1,15,"Dino Drpic",72,108
8985,1,78,"Mile Jedinak",76,65
9079,1,87,"Mensur Mujdza",73,60
9086,1,112,"Ivica Vrdoljak",70,43
9124,1,18,"Ivan Radeljic,18",67,52
9128,1,9,"Tomislav Dujmovic",72,54
9144,1,8,"Yasin Karaca",61,131
9149,1,10,"Joost Volmer",65,101
9183,1,34,"Janos Balogh",71,362
9203,1,3,"Tibor Tisza",65,59
9213,1,11,"Peter Czvitkovics",70,57
9307,2,44,"Balazs Toth",66,126
9449,1,75,"Oleksandr Shevelyukhin",67,41
10348,1,39,"Alejandro Dominguez",78,150
10404,1,1,"Stanislav Vlcek",75,148
10474,1,5,"Evaldas Razulis",62,48
10491,1,33,"Diniyar Bilyaletdinov",79,155
10637,1,223,"Andris Vanins",72,361
10880,1,59,"Robbie Haemhouts",66,61
10933,1,102,"Robert Jez",69,66
10950,1,93,"Pavel Krmas",69,46
10967,1,38,"Petr Jiracek",76,47
10984,1,20,"Maros Klimpl",73,123
11024,1,135,"Tomas Cerny",74,370
11027,1,34,"Roman Hubnik",74,42
11038,1,2,"Vojtech Schulmeister",63,127
11049,1,6,"Matej Krajcik",70,41
11052,1,37,"Michal Svec",70,135
11061,2,114,"Csaba Horvath",66,52
11242,1,2,"Konstantin Engel",67,48
11263,1,11,"Roman Prokoph",65,62
11285,1,8,"Lucas",78,50
11316,1,45,"Jean-Louis Leca",71,357
11317,1,4,"Florent Ghisolfi",64,46
11319,1,181,"Benoit Costil",81,407
11320,1,95,"Steeve Elana",76,374
11321,1,53,"Vincent Plante",74,369
11323,1,149,"Cedric Hengbart",78,45
11324,1,141,"Nicolas Seube",72,59
11327,1,26,"Anthony Deroin",71,139
11329,1,132,"Reynald Lemaitre",70,135
11332,1,2,"Yohann Eudeline",70,87
11336,2,69,"Rudy Riou",71,357
11349,1,92,"Jose Gaspar",68,57
11357,1,41,"Olafur Ingi Skulason",70,45
11496,1,34,"Wade Elliott",74,145
11498,1,3,"Stuart Nelson",65,328
11555,1,110,"Fernando Soriano",74,41
11569,1,28,"Avi Strool",67,141
11576,1,32,"Tamir Cohen",73,43
11671,1,4,"Gael Genevier",69,49
11685,1,197,"Antonio Candreva",83,51
11716,1,2,"Pedro Roma",72,352
11726,1,94,"Nuno Piloto",69,47
11734,1,11,"Tininho",57,111
11736,3,116,"Antolin Alcaraz",74,51
11743,1,128,"Artur",74,58
11746,1,2,"Pedro Alves",66,329
11747,1,56,"Alessandro Mangiarrati",60,61
11752,1,2,"Marco Paulo",64,131
11754,1,65,"Ruben Amorim",77,56
11758,2,203,"Eliseu",78,67
11759,1,22,"Carlos Milhazes,22",68,141
11760,1,5,"Jorge Baptista",65,316
11778,1,26,"Roversio",73,39
11788,1,22,"Rui Baiao,22",65,133
11795,1,12,"Ferreira",61,126
11796,1,103,"Briguel",66,43
11798,1,13,"Zeca",75,48
11801,1,39,"Luis Olim",65,126
11827,1,25,"Fernando Cardozo",69,136
11829,1,52,"Bruno Patacas",70,53
11833,1,64,"de Oliveira Cleber Monteiro",69,71
11836,1,29,"Marcelo Pereira Bruno",68,130
11840,1,24,"Miguel Fidalgo",68,131
11849,1,52,"Pedro Moreira",69,63
11851,1,33,"Nuno Silva",68,126
11860,1,59,"Jose Manuel Ze Gomes",67,139
11861,1,11,"Bruno Mendes",66,129
11863,1,175,"Danielson",71,44
11865,1,28,"Ferreira Delson,28",65,59
11876,1,26,"Laranjeiro",68,149
11897,1,28,"Flavio Meireles",70,60
11901,1,52,"Ricardo Pessoa",65,59
12005,1,1,"Ersen Martin",75,140
12099,1,25,"Marcel MBayo,25",66,121
12209,1,7,"Tomas Kosicky",66,330
12245,3,12,"Adam Nemec",70,58
12246,1,50,"Stanislav Sestak",77,122
12283,2,97,"Robert Demjan",68,58
12288,1,8,"Jan Durica",75,53
12307,1,96,"Miroslav Bozok",63,43
12310,1,8,"Rudolf Urban",57,40
12318,2,106,"Dusan Pernis",70,351
12320,1,23,"Dalibor Pleva",60,47
12327,1,33,"Matej Izvolt",62,52
12330,1,114,"Peter Pekarik",76,58
12340,1,73,"Richard Zajac,28",67,340
12371,1,4,"Kamil Kopunek",65,42
12374,1,179,"Pavol Stano",66,41
12381,1,1,"Jan Slovenciak",59,291
12386,1,52,"Krisztian Nemeth",71,56
12405,2,27,"Elvedin Dzinic",66,114
12418,1,3,"Dragan Jelic",64,54
12431,1,35,"Jure Travner",65,59
12454,1,1,"Branko Ilic",69,138
12473,2,65,"Marko Suler",72,36
12574,1,65,"Zlatan Ljubijankic",72,52
12692,1,40,"Kanu",71,44
12763,1,25,"Nicolae Ovidiu Herea",69,60
12766,2,80,"Cristian Sapunaru",77,57
12985,1,34,"Christos Karypidis",66,125
13033,2,81,"Orestis Karnezis",79,391
13034,1,7,"Michalis Sifakis",76,377
13131,1,70,"Tomislav Pacovski",68,330
13191,1,3,"Ioannis Maniatis",75,51
13225,1,29,"Fabian Pawela",62,53
13301,1,46,"Kamil Kuzera",65,53
13320,1,70,"Krzysztof Kotorowski",66,329
13327,1,41,"Pawel Sasin",64,125
13329,1,99,"Blazej Telichowski",62,58
13334,2,140,"Lukasz Madej",68,52
13345,2,143,"Pawel Kieszek",75,374
13349,1,77,"Antoni Lukasiewicz",68,97
13350,1,32,"Wojciech Szymanek",61,53
13376,1,142,"Jakub Rzezniczak",70,54
13383,1,127,"Maciej Korzym",67,53
13390,1,60,"Wojciech Skaba",63,312
13405,1,158,"Marcin Malinowski",65,52
13410,1,39,"Mariusz Zganiacz",71,47
13423,2,84,"Marcin Wasilewski",72,49
13425,1,34,"Wahan Gevorgyan",63,53
13428,2,117,"Slawomir Peszko",75,56
13436,1,125,"Krzysztof Pilarz",67,360
13437,1,155,"Piotr Celeban",72,46
13449,1,189,"Lukasz Tralka",70,66
13454,1,94,"Sebastian Przyrowski",65,319
13471,2,149,"Radoslaw Cierzniak",66,331
13472,1,36,"Arkadiusz Malarz",65,325
13473,1,90,"Maciej Mielcarz",66,329
13474,1,78,"Jaroslaw Bieniuk",67,57
13476,1,10,"Dawid Kucharski",64,135
13477,1,82,"Tomasz Lisowski",69,48
13480,1,85,"Grzegorz Wojtkowiak",72,47
13481,1,153,"Hubert Wolakiewicz",68,55
13483,1,28,"Filip Burkhardt",59,131
13486,1,68,"Marcin Kikut",70,105
13490,1,83,"Szymon Sawala",61,58
13494,1,48,"Jakub Szmatula",66,337
13504,1,96,"Mateusz Zytko",60,62
13513,1,45,"Pawel Strak",70,42
13515,1,90,"Lukasz Mierzejewski",63,59
13518,1,175,"Lukasz Piszczek",83,57
13533,1,90,"Piotr Polczak",67,58
13538,1,108,"Dawid Plizga",68,51
13549,1,22,"Vejlko Nikitovic",61,70
13551,1,170,"Tomasz Brzyski",69,73
13554,1,144,"Mariusz Pawelec",66,64
13557,1,26,"Dawid Soldecki",61,53
13917,1,95,"Liam Kelly",68,52
14039,1,160,"Paul Dixon",71,57
14100,1,156,"Alan Mannus",69,341
14487,1,14,"Roei Dayan",68,52
14521,2,81,"Maor Melikson",76,54
14533,1,14,"Gal Alberman",72,156
14551,1,3,"Dekel Keinan",66,44
14557,1,63,"Lior Rafaelov",78,52
14560,1,55,"Eden Ben Basat",73,52
14593,1,11,"Eliran Atar",72,46
14642,1,28,"Yoav Ziv",67,133
14658,1,58,"Vladimir Dvalishvili",69,50
15361,1,101,"Jasmin Buric",71,348
15403,3,174,"Edin Dzeko",85,63
15425,1,3,"Veldin Muharemovic",57,119
15456,1,4,"Josip Barisic",59,118
15608,1,62,"Amir Spahic",60,52
15652,1,1,"Ivica Dzidic",56,120
15661,1,6,"Davor Landeka",58,66
15662,1,29,"Sulejman Smajic",69,125
15732,1,113,"Ivan Radovanovic",73,27
15905,1,6,"Stanley Aborah",66,62
15913,1,2,"Dimitrija Lazarevski",59,116
15938,1,11,"Jovan Kostovski",66,69
16199,1,22,"Boban Bajkovic",68,344
16210,1,4,"Marko Perovic",70,43
16218,2,33,"Simon Vukcevic",79,150
16230,1,11,"Milan Smiljanic",71,116
16254,2,158,"Dusan Veskovac",70,59
16292,1,4,"Branko Lazarevic",66,53
16300,1,88,"Gojko Kacar",78,145
16323,1,2,"Nikola Nikezic",63,120
16351,2,157,"Aleksandar Kolarov",79,61
16362,1,27,"Andjelko Djuricic",68,344
16368,1,17,"Savo Pavicevic",67,129
16387,1,20,"Mladen Lazarevic",61,127
16428,1,5,"Ivan Stevanovic",65,46
