"team_api_id","total_goals","team_long_name","buildup_ovr","chance_ovr","defence_ovr"
1601,280,"Ruch Chorzów",139,186,175
1773,126,"Oud-Heverlee Leuven",153,157,137
1957,287,"Jagiellonia Bialystok",158,163,210
2033,138,"S.C. Olhanense",147,165,155
2182,372,"Lech Poznan",176,196,160
2183,184,"P. Warszawa",NA,180,175
2186,235,"Cracovia",125,168,205
4049,35,"Tubize",NA,NA,NA
4064,27,"Feirense",NA,NA,NA
4087,180,"Évian Thonon Gaillard FC",156,180,165
4170,31,"US Boulogne Cote D'Opale",NA,165,200
6269,34,"Novara",179,172,151
6351,28,"KAS Eupen",NA,160,155
6367,27,"Uniao da Madeira",NA,NA,NA
6391,37,"GFC Ajaccio",153,179,146
6403,292,"FC Paços de Ferreira",142,170,150
6413,204,"PEC Zwolle",137,165,181
6421,55,"Leixões SC",NA,165,90
6433,74,"Go Ahead Eagles",160,132,141
6493,128,"AC Bellinzona",NA,175,150
6547,29,"FC Penafiel",147,146,121
6601,38,"FC Volendam",NA,NA,NA
6631,24,"FC Dordrecht",134,176,164
7730,99,"FC Lausanne-Sports",141,164,165
7788,119,"SC Cambuur",136,159,138
7794,165,"SC Bastia",174,156,210
7819,220,"SM Caen",157,165,205
7841,248,"Rio Ave FC",157,180,153
7842,167,"Estoril Praia",174,139,150
7844,300,"Vitória Guimarães",131,179,177
7869,22,"Córdoba CF",146,171,129
7878,179,"Granada CF",166,200,170
7896,46,"Lugano",NA,NA,NA
7943,141,"Sassuolo",188,186,138
7947,44,"FCV Dender EH",NA,NA,NA
7955,171,"Neuchâtel Xamax",NA,190,150
7992,25,"Trofense",NA,NA,NA
8019,61,"Górnik Leczna",140,139,149
8020,245,"Polonia Bytom",NA,150,185
8021,207,"Zaglebie Lubin",133,192,210
8023,152,"Pogon Szczecin",134,185,158
8024,122,"Widzew Lódz",190,185,158
8025,318,"Slask Wroclaw",140,165,180
8027,75,"Zawisza Bydgoszcz",145,168,143
8028,204,"Piast Gliwice",183,169,195
8030,279,"Lechia Gdansk",162,183,205
8031,88,"Polonia Bytom",NA,150,185
8033,169,"Podbeskidzie Bielsko-Biala",193,166,152
8066,345,"Inverness Caledonian Thistle",169,174,139
8121,40,"Angers SCO",159,180,140
8152,35,"FC St. Pauli",161,190,185
8165,193,"1. FC Nürnberg",153,180,162
8177,238,"Hertha BSC Berlin",175,172,155
8178,483,"Bayer 04 Leverkusen",157,210,200
8191,70,"Burnley",154,210,205
8194,39,"Fortuna Düsseldorf",198,190,169
8197,114,"Leicester City",164,185,210
8203,285,"KV Mechelen",134,150,190
8226,400,"TSG 1899 Hoffenheim",180,191,200
8234,33,"FC Ingolstadt 04",160,151,140
8242,50,"Odra Wodzislaw",NA,155,205
8244,50,"Widzew Lódz",190,185,158
8245,237,"Korona Kielce",192,169,172
8262,38,"SV Darmstadt 98",179,174,129
8277,423,"Vitesse",145,173,180
8284,127,"Dundee FC",142,158,154
8295,30,"Karlsruher SC",164,205,170
8302,478,"Sevilla FC",183,206,195
8305,345,"Getafe CF",117,155,164
8306,45,"UD Las Palmas",147,187,171
8315,415,"Athletic Club de Bilbao",131,184,170
8322,77,"Arka Gdynia",NA,150,205
8342,421,"Club Brugge KV",139,170,200
8344,32,"Cardiff City",168,210,210
8348,101,"Moreirense FC",139,144,138
8350,72,"1. FC Kaiserslautern",167,185,210
8357,26,"SpVgg Greuther Fürth",167,170,170
8358,245,"SC Freiburg",151,160,158
8370,247,"Rayo Vallecano",141,161,178
8371,232,"CA Osasuna",143,193,177
8372,83,"SD Eibar",165,179,142
8388,38,"CD Numancia",137,160,158
8394,159,"Real Zaragoza",154,166,158
8398,30,"FC Energie Cottbus",126,175,206
8406,201,"FC Augsburg",169,188,161
8426,135,"Partick Thistle F.C.",143,160,143
8429,185,"Hamilton Academical FC",143,200,195
8455,583,"Chelsea",157,200,168
8456,606,"Manchester City",123,210,180
8457,40,"Dunfermline Athletic",NA,168,148
8460,31,"SC Paderborn 07",175,168,145
8462,72,"Portsmouth",148,195,150
8464,310,"N.E.C.",150,158,146
8466,216,"Southampton",129,205,210
8467,308,"St. Johnstone FC",162,150,142
8472,333,"Sunderland",154,195,165
8475,105,"Waasland-Beveren",132,140,114
8479,34,"RC Recreativo",148,140,151
8481,203,"AS Nancy-Lorraine",146,172,210
8483,55,"Blackpool",183,205,210
8485,365,"Aberdeen",184,210,200
8521,99,"Stade Brestois 29",161,168,210
8524,283,"Atalanta",146,170,165
8525,222,"Willem II",150,166,153
8526,130,"De Graafschap",NA,153,137
8528,200,"Wigan Athletic",144,190,165
8529,309,"Cagliari",167,196,187
8530,251,"Catania",175,178,147
8533,285,"Chievo Verona",187,170,165
